id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
98069554,3707179348802,Giày sneaker thể thao nữ buộc dây siêu nhẹ V280Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 cmSize 38 phù hợp c...,69000,69000,,0,0,22,,available,,1000,1000,,111461,OEM
20495953,5403056121975," Chất cao: PVC mềm và êm chânĐế chống trơn trượtBạn có thể sử dụng đi trời mưa, đi biển, đi làm và đi chơi, sử dụng nhiều hoàn cảnh và trang phục. Kiểu dáng lịch sự và thời trang...",85000,85000,,0,0,1,,available,,1000,1000,,111461,OEM
261970167,8799930469267,"• BỘ SƯU TẬP MỚI TỪ NATIVE SHOES : SUGARLITENhựa EVA Mía đường – “nhựa sinh học” được làm từ nguồn nguyên liệu tái tạo sẽ giúp giảm thiểu việc sử dụng nhựa tổng hợp có nguồn gốc từ dầu thô, khí đ...",800000,1250000,,450000,36,0,,available,,1000,1000,,325063,Native
198824714,2976625038871,"4 lý do khiến siêu phẩm ""GIÀY TIẾP VIÊN HÀNG KHÔNG"" FFAN trở thành đôi giày quốc dân mà bất cứ ai cũng NÊN sở hữu:- SIÊU MỀM- SIÊU ÊM- SIÊU BỀN- CHẤT DA THẬT 100%  THÔNG TIN SẢN PHẨM:  - Da t...",430000,430000,,0,0,0,,available,,1000,1000,,111461,OEM
208635284,5549594368765,"   GIÀY NHỰA NỮ - GIÀY ĐI MƯA - GIÀY ĐI BIỂN    MSP: GNN1    Size: 36-40   Giày nhựa dẻo - Chất liệu nhựa cao cấp luôn luôn mang lại cảm giác thư thái, thoải mái trên mọi hành trình.   Giày chịu ...",85000,85000,,0,0,0,,available,,1000,1000,,111461,OEM
270448088,4079372701363,MLB - Dép quai ngang unisex New Mound MÔ TẢ SẢN PHẨM Chất liệu: Synthetic Leather  Kiểu dáng dép quai ngang bản rộng cá tính Đế cao su chống trơn trượt Phần quai được thiết kế với họa tiết kẻ...,1390000,1390000,,0,0,0,,available,,1000,1000,,300463,MLB
55663900,1196838055073,"Giày Sandal nữ dáng trẻ trung, quyến rũ S0115 sẽ là sản phẩm mang đến nét duyên dáng và  thanh lịch. Có độ mềm và độ bền cao. Lựa chọn hoàn hảo với hầu hết phái đẹp mỗi khi đi làm, đi học, dự tiệc hay...",199000,199000,,0,0,20,,available,,1000,1000,,111461,OEM
75557643,6965033978044,"   Vẻ đẹp quyến rũ vừa mang nét cá tính, vừa uyển chuyển dịu dàng của những đôi giày sandal có một sức hút không thể cưỡng lại đối với phái đẹp. Nó đem lại cho phụ nữ cảm giác tự tin,thoát...",200000,320000,,120000,38,26,,available,,1000,1000,,163603,Erosska
208411745,9369850883968,"Boot qua gối đế bệt màu đen CHẤT DA LỘN PHỐI SATIN ôm chân GCC12402 là một mẫu boot vô cùng thoải mái cho chị em đi bộ, đi du lịch cần di chuyển nhiều. Gót 3cm, ống giày 50cm. Thiết kế bất đối xứng tr...",560000,560000,,0,0,0,,available,,1000,1000,,111461,OEM
91052315,3153896423540,"Giày Nữ sản phẩm được thiết kế bền đẹp kết hợp đế cao su êm nhẹ giúp bạn Nữ luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Được làm Bằng chất liệu Da Bò Thật 100% Sa...",379000,500000,,121000,24,8,,available,,1000,1000,,221061,BIGGBEN
